Date,Open,High,Low,Close,Volume,Adj Close
2012-07-30,196.320007,197.839996,195.919998,196.679993,2787000,172.834553
2012-07-27,195.100006,197.410004,193.949997,196.389999,4177300,172.579719
2012-07-26,193.490005,194.949997,192.570007,193.949997,3282900,170.435542
2012-07-25,190.309998,192.770004,189.320007,191.080002,3833800,167.913504
2012-07-24,190.919998,191.320007,188.559998,190.339996,3597100,167.263217
2012-07-23,189.779999,191.300003,188.199997,190.830002,3904500,167.693814
2012-07-20,194.089996,194.899994,192.169998,192.449997,4789700,169.117401
2012-07-19,193.399994,196.850006,192.970001,195.339996,10395400,171.657018
2012-07-18,184.149994,188.589996,183.550003,188.25,8019500,165.426611
2012-07-17,185.729996,186.289993,183.199997,183.649994,5158600,161.384309
2012-07-16,185.580002,186.100006,184.580002,184.789993,3144400,162.386095
2012-07-13,183.460007,186.330002,183.029999,186.009995,3933000,163.458183
2012-07-12,184.25,184.389999,181.850006,183.089996,4931300,160.892205
2012-07-11,186.220001,187.360001,183.509995,185.25,5456100,162.79033
2012-07-10,190.300003,191.139999,185.600006,186.259995,4690300,163.677873
2012-07-09,190.759995,191.00,188.050003,189.669998,3988100,166.674449
2012-07-06,193.919998,193.940002,189.740005,191.410004,4952900,168.203497
2012-07-05,194.880005,196.850006,193.630005,195.289993,2690200,171.613077
2012-07-03,195.460007,196.339996,194.910004,195.929993,1450400,172.175483
2012-07-02,196.360001,197.199997,194.850006,195.830002,2827000,172.087615
2012-06-29,194.550003,195.809998,192.410004,195.580002,5259600,171.867925
2012-06-28,191.229996,192.080002,188.899994,191.399994,3967300,168.1947
2012-06-27,192.139999,193.699997,190.899994,193.00,2762700,169.600722
2012-06-26,193.539993,193.679993,190.75,191.949997,3435900,168.678021
2012-06-25,192.479996,193.389999,191.679993,192.860001,3211600,169.477696
2012-06-22,193.869995,194.880005,193.220001,193.699997,8823000,170.215852
2012-06-21,199.070007,199.449997,193.190002,193.389999,4316600,169.943438
2012-06-20,198.699997,199.740005,197.50,198.779999,3378200,174.679955
2012-06-19,198.830002,199.990005,198.800003,198.929993,3297600,174.811764
2012-06-18,197.570007,199.639999,197.169998,198.289993,3378900,174.249358
2012-06-15,196.080002,199.270004,195.399994,199.100006,6389000,174.961165
2012-06-14,193.00,195.830002,192.740005,195.100006,3585000,171.446124
2012-06-13,194.360001,195.190002,192.350006,193.100006,3247700,169.688604
2012-06-12,192.139999,194.669998,192.139999,194.550003,3023700,170.962803
2012-06-11,196.600006,196.699997,192.369995,192.509995,3273300,169.170125
2012-06-08,193.710007,195.139999,192.699997,195.139999,2479200,171.481269
2012-06-07,195.279999,195.830002,193.940002,194.440002,3701100,170.866139
2012-06-06,190.779999,194.00,190.020004,193.990005,3641300,170.4707
2012-06-05,187.919998,189.850006,187.559998,189.199997,3556500,166.261431
2012-06-04,188.339996,189.380005,187.00,188.539993,4624500,165.681446
2012-06-01,190.119995,191.720001,188.600006,189.080002,5206400,166.155984
2012-05-31,194.100006,194.929993,192.00,192.899994,9287500,169.512841
2012-05-30,194.800003,195.470001,193.770004,194.529999,3602500,170.945224
2012-05-29,195.220001,198.080002,195.220001,196.460007,3618500,172.641238
2012-05-25,195.110001,196.00,194.00,194.300003,2901900,170.743113
2012-05-24,195.990005,196.279999,194.00,196.089996,3569300,172.316088
2012-05-23,195.529999,196.490005,193.199997,196.119995,4100000,172.34245
2012-05-22,198.039993,198.259995,196.059998,196.820007,3567100,172.957593
2012-05-21,195.979996,197.929993,194.630005,197.759995,3831700,173.783616
2012-05-18,198.779999,198.779999,195.160004,195.880005,5737100,172.131556
2012-05-17,199.669998,200.789993,197.639999,197.889999,5626300,173.897859
2012-05-16,199.419998,201.350006,198.179993,199.729996,5001000,175.514775
2012-05-15,199.440002,201.470001,198.759995,199.039993,2987400,174.908428
2012-05-14,199.919998,200.710007,198.559998,199.440002,3029200,175.25994
2012-05-11,199.960007,202.119995,199.949997,201.169998,2391500,176.780192
2012-05-10,201.00,203.25,200.020004,200.600006,3830500,176.279305
2012-05-09,199.990005,203.00,199.059998,201.229996,3742500,176.832915
2012-05-08,202.440002,203.059998,199.720001,201.479996,3881500,177.052605
2012-05-07,203.960007,204.770004,202.899994,203.75,3373400,178.30045
2012-05-04,206.470001,207.110001,204.399994,204.990005,4023600,179.385572
2012-05-03,208.270004,208.919998,206.550003,207.240005,2826600,181.354534
2012-05-02,206.970001,208.270004,206.910004,208.059998,2360300,182.072104
2012-05-01,207.179993,208.929993,206.710007,208.00,2715900,182.019601
2012-04-30,206.710007,207.960007,206.320007,207.080002,2773200,181.214516
2012-04-27,206.470001,208.169998,205.910004,206.809998,3496900,180.978237
2012-04-26,203.399994,206.210007,203.399994,205.580002,3302700,179.901874
2012-04-25,202.020004,203.690002,201.800003,203.570007,4003400,178.14294
2012-04-24,199.059998,202.479996,198.869995,200.00,5626300,175.018847
2012-04-23,197.889999,199.100006,196.789993,198.619995,3618800,173.811213
2012-04-20,199.830002,200.119995,199.089996,199.600006,4758200,174.668815
2012-04-19,200.029999,201.259995,197.520004,199.509995,5762900,174.590046
2012-04-18,202.429993,204.070007,200.00,200.130005,10153500,175.132614
2012-04-17,204.570007,207.639999,204.149994,207.449997,6065500,181.538296
2012-04-16,204.740005,205.970001,202.720001,202.720001,3826600,177.399104
2012-04-13,204.320007,204.649994,202.800003,202.800003,3767000,177.469114
2012-04-12,202.800003,205.559998,202.639999,205.320007,2929600,179.674355
2012-04-11,203.990005,204.320007,202.460007,202.580002,3366200,177.276592
2012-04-10,204.940002,205.740005,202.169998,202.330002,4132900,177.057818
2012-04-09,204.399994,206.169998,203.369995,204.940002,3326900,179.341815
2012-04-05,205.149994,205.679993,204.460007,205.470001,3809000,179.805614
2012-04-04,206.220001,206.979996,205.190002,206.050003,4404000,180.31317
2012-04-03,209.309998,210.690002,208.539993,209.50,4091500,183.332242
2012-04-02,208.960007,209.690002,208.089996,209.470001,3387900,183.30599
2012-03-30,208.740005,209.119995,208.009995,208.649994,3215200,182.588407
2012-03-29,206.089996,208.50,206.020004,208.270004,3403700,182.25588
2012-03-28,207.440002,208.690002,206.270004,207.289993,3265700,181.398278
2012-03-27,208.460007,208.660004,207.00,207.179993,2704500,181.302017
2012-03-26,206.449997,207.919998,206.320007,207.770004,3418200,181.818333
2012-03-23,205.889999,205.960007,204.559998,205.479996,3036200,179.81436
2012-03-22,204.00,205.990005,203.960007,205.490005,3307800,179.823119
2012-03-21,204.320007,205.770004,204.300003,204.690002,3329900,179.123041
2012-03-20,204.740005,205.00,203.699997,204.25,3695100,178.737997
2012-03-19,205.710007,206.529999,204.50,205.720001,3763200,180.024387
2012-03-16,207.029999,207.520004,206.009995,206.009995,9637000,180.278159
2012-03-15,204.940002,206.179993,204.740005,206.00,3621100,180.269412
2012-03-14,203.779999,205.149994,203.639999,204.720001,4602300,179.149293
2012-03-13,201.720001,203.899994,201.610001,203.779999,4866000,178.326702
2012-03-12,200.929993,201.570007,200.229996,201.00,3119700,175.893941
2012-03-09,199.979996,201.100006,199.720001,200.619995,3178200,175.561401
2012-03-08,199.240005,199.990005,198.649994,199.809998,3145800,174.852577
2012-03-07,198.089996,198.570007,197.309998,197.770004,3346900,173.067391
2012-03-06,199.139999,199.639999,196.809998,197.259995,5214700,172.621084
2012-03-05,198.360001,201.190002,198.300003,200.660004,6938000,175.596412
2012-03-02,197.100006,198.889999,197.059998,198.809998,3727400,173.977483
2012-03-01,197.229996,198.470001,196.929993,197.529999,3560300,172.857363
2012-02-29,197.860001,199.169998,196.449997,196.729996,5117100,172.157285
2012-02-28,197.75,198.960007,197.429993,197.979996,3167400,173.251153
2012-02-27,196.779999,198.710007,196.100006,197.529999,3758400,172.857363
2012-02-24,198.380005,198.559998,196.610001,197.759995,3353200,173.058631
2012-02-23,193.869995,199.229996,193.279999,197.610001,8032700,172.927372
2012-02-22,193.029999,194.740005,192.75,193.869995,3275800,169.654515
2012-02-21,193.729996,194.240005,192.460007,193.389999,3293600,169.234474
2012-02-17,193.710007,193.860001,192.300003,193.419998,3746500,169.260725
2012-02-16,192.610001,193.25,192.00,193.020004,3525500,168.910693
2012-02-15,192.309998,193.440002,191.259995,192.25,4020900,168.236867
2012-02-14,191.759995,192.600006,190.830002,192.220001,3398100,168.210615
2012-02-13,193.309998,193.690002,191.740005,192.619995,2458800,168.560647
2012-02-10,191.759995,192.429993,191.279999,192.419998,3391100,168.385631
2012-02-09,193.029999,194.460007,192.550003,193.130005,3876400,169.006954
2012-02-08,192.779999,193.580002,191.729996,192.949997,3803800,168.84943
2012-02-07,192.449997,194.139999,191.970001,193.350006,3433000,168.543152
2012-02-06,192.479996,193.759995,192.00,192.820007,3639800,168.081152
2012-02-03,192.929993,194.130005,192.539993,193.639999,4521700,168.795939
2012-02-02,192.720001,193.330002,191.330002,191.529999,3907300,166.956652
2012-02-01,193.210007,194.809998,192.410004,192.619995,5088800,167.906802
2012-01-31,193.089996,193.100006,191.00,192.600006,4826800,167.889377
2012-01-30,189.389999,192.729996,188.220001,192.50,4359000,167.802202
2012-01-27,190.009995,191.770004,189.809998,190.460007,3360400,166.02394
2012-01-26,191.789993,192.789993,190.470001,190.979996,4004700,166.477215
2012-01-25,191.330002,192.240005,189.610001,191.729996,4359700,167.130989
2012-01-24,188.630005,192.300003,188.520004,191.929993,5345700,167.305327
2012-01-23,187.910004,190.520004,187.669998,189.979996,5751700,165.605515
2012-01-20,185.770004,188.970001,184.75,188.520004,12849700,164.332841
2012-01-19,181.789993,182.360001,180.350006,180.520004,8567200,157.359243
2012-01-18,179.830002,181.600006,179.50,181.070007,4600600,157.83868
2012-01-17,180.360001,182.00,179.320007,180.00,6003400,156.905955
2012-01-13,179.479996,179.610001,177.350006,179.160004,5279200,156.17373
2012-01-12,181.860001,181.910004,178.380005,180.550003,6881000,157.385393
2012-01-11,180.729996,182.809998,180.50,182.320007,4110800,158.928305
2012-01-10,183.229996,183.720001,181.199997,181.309998,5161000,158.04788
2012-01-09,182.199997,182.270004,180.270004,181.589996,5201200,158.291954
2012-01-06,184.389999,184.479996,182.309998,182.539993,4897100,159.120067
2012-01-05,184.809998,185.029999,183.100006,184.660004,4463100,160.968079
2012-01-04,185.570007,186.330002,184.940002,185.539993,4346700,161.735166
2012-01-03,186.729996,188.710007,186.00,186.300003,5646000,162.397666
2011-12-30,186.330002,186.479996,183.850006,183.880005,3530900,160.288154
2011-12-29,184.070007,186.229996,184.009995,186.179993,2941600,162.293053
2011-12-28,185.190002,185.399994,183.339996,183.990005,2872000,160.384042
2011-12-27,184.970001,185.850006,184.389999,184.949997,2775200,161.220866
2011-12-23,183.110001,184.850006,181.889999,184.75,3052300,161.046529
2011-12-22,182.710007,182.800003,181.00,182.039993,5052000,158.684217
2011-12-21,183.220001,183.50,179.039993,181.470001,9282500,158.187355
2011-12-20,185.50,187.330002,184.759995,187.240005,4740100,163.217066
2011-12-19,184.509995,184.690002,182.25,182.889999,5039900,159.425167
2011-12-16,188.009995,188.009995,181.910004,183.570007,11849400,160.01793
2011-12-15,190.479996,191.199997,186.889999,187.479996,4474500,163.426265
2011-12-14,189.839996,190.279999,188.00,188.720001,5057700,164.507178
2011-12-13,193.460007,194.300003,190.639999,191.149994,5008400,166.625402
2011-12-12,193.639999,193.899994,191.220001,192.179993,3796100,167.523252
2011-12-09,192.910004,194.869995,192.399994,194.559998,4847900,169.597901
2011-12-08,192.479996,193.800003,191.070007,191.580002,4369000,167.00024
2011-12-07,191.990005,194.899994,191.279999,194.050003,5081700,169.153339
2011-12-06,190.649994,193.529999,190.320007,192.940002,4144900,168.185752
2011-12-05,191.179993,193.610001,190.380005,190.839996,5699400,166.355177
2011-12-02,189.919998,191.330002,189.449997,189.660004,4962200,165.326578
2011-12-01,187.009995,189.990005,186.770004,189.449997,4858800,165.143515
2011-11-30,184.570007,188.350006,184.210007,188.00,7836800,163.879553
2011-11-29,182.020004,183.309998,180.839996,180.940002,3661600,157.725355
2011-11-28,182.710007,182.929993,180.669998,182.210007,4524200,158.832417
2011-11-25,178.009995,179.559998,177.059998,177.059998,2232800,154.343156
2011-11-23,180.669998,181.490005,177.520004,177.949997,4800900,155.118968
2011-11-22,182.220001,182.979996,180.289993,181.309998,4178600,158.04788
2011-11-21,183.369995,183.960007,180.00,181.479996,5145100,158.196067
2011-11-18,186.710007,186.970001,184.660004,185.240005,4440900,161.473667
2011-11-17,186.809998,188.830002,183.389999,185.729996,5840500,161.900791
2011-11-16,187.820007,189.899994,186.300003,186.619995,4616800,162.676603
2011-11-15,187.490005,189.970001,185.639999,188.75,4585300,164.533328
2011-11-14,189.169998,189.839996,186.850006,187.350006,6038600,163.312954
2011-11-11,185.270004,187.830002,185.139999,187.380005,3665300,163.339103
2011-11-10,183.580002,184.770004,181.869995,183.350006,3881600,159.826155
2011-11-09,184.199997,185.240005,181.160004,182.240005,5494800,158.858567
2011-11-08,187.479996,187.880005,185.509995,187.25,4330600,163.225778
2011-11-07,186.220001,187.729996,184.75,187.320007,3530800,162.633029
2011-11-04,186.270004,187.139999,184.740005,186.380005,3237600,161.81691
2011-11-03,185.130005,187.779999,184.020004,187.300003,4953500,162.615661
2011-11-02,184.00,185.25,183.029999,183.919998,4136600,159.681108
2011-11-01,181.550003,183.259995,180.740005,181.350006,5881200,157.449816
2011-10-31,185.589996,186.910004,184.630005,184.630005,4710000,160.297543
2011-10-28,185.570007,188.070007,185.279999,187.449997,5009800,162.745887
2011-10-27,184.990005,187.00,183.179993,185.880005,7057800,161.382805
2011-10-26,181.740005,182.279999,179.029999,181.970001,5387700,157.988102
2011-10-25,181.660004,182.970001,180.009995,180.360001,5373100,156.590284
2011-10-24,181.509995,183.389999,180.619995,182.25,5890600,158.2312
2011-10-21,179.110001,181.669998,178.75,181.630005,8054200,157.692914
2011-10-20,178.130005,179.240005,176.169998,177.25,7513800,153.890152
2011-10-19,179.679993,179.809998,177.009995,177.389999,6708300,154.0117
2011-10-18,178.00,179.380005,176.25,178.899994,15729400,155.322692
2011-10-17,189.710007,190.160004,185.899994,186.589996,8790300,161.999226
2011-10-14,188.190002,190.529999,187.729996,190.529999,5368200,165.419974
2011-10-13,184.970001,187.50,184.50,186.820007,4399200,162.198924
2011-10-12,186.080002,188.00,185.649994,186.119995,5338200,161.591167
2011-10-11,184.589996,186.00,184.110001,185.00,5330500,160.618776
2011-10-10,183.00,186.630005,182.899994,186.619995,5784800,162.025271
2011-10-07,182.320007,183.720001,181.639999,182.389999,6842600,158.352748
2011-10-06,176.809998,181.990005,175.660004,181.690002,7180900,157.745004
2011-10-05,174.570007,177.300003,172.679993,176.850006,5851700,153.542873
2011-10-04,171.539993,175.070007,168.880005,174.740005,9200000,151.71095
2011-10-03,174.360001,177.919998,173.039993,173.289993,9042600,150.452036
2011-09-30,176.009995,178.270004,174.75,174.869995,7807400,151.823809
2011-09-29,179.690002,180.910004,175.529999,179.169998,6944300,155.557113
2011-09-28,177.970001,180.75,177.080002,177.550003,7732200,154.150617
2011-09-27,176.820007,179.619995,176.429993,177.710007,7638800,154.289534
2011-09-26,170.960007,174.699997,169.860001,174.509995,6745700,151.511253
2011-09-23,166.990005,169.539993,165.759995,169.339996,5586600,147.022611
2011-09-22,168.330002,169.970001,166.50,168.619995,8195600,146.397499
2011-09-21,175.00,177.669998,172.619995,173.020004,7043100,150.217629
2011-09-20,173.570007,177.429993,172.699997,174.720001,6209600,151.693582
2011-09-19,169.50,173.869995,169.429993,173.130005,4755600,150.313132
2011-09-16,171.330002,172.990005,169.740005,172.990005,11048100,150.191584
2011-09-15,168.639999,170.160004,167.229996,170.089996,5464400,147.673768
2011-09-14,164.009995,169.660004,161.990005,167.240005,6980700,145.199378
2011-09-13,163.639999,163.919998,161.539993,163.429993,4723800,141.891489
2011-09-12,160.039993,162.440002,158.759995,162.419998,5247200,141.014602
2011-09-09,164.570007,165.190002,160.809998,161.369995,6743900,140.102979
2011-09-08,167.00,169.580002,165.100006,165.25,6027200,143.471636
2011-09-07,167.279999,167.899994,166.160004,167.309998,6796600,145.260146
2011-09-06,163.059998,165.550003,162.199997,165.110001,5761200,143.350088
2011-09-02,167.690002,168.929993,166.00,166.979996,4979100,144.973635
2011-09-01,172.710007,173.679993,170.119995,170.330002,5463900,147.882143
2011-08-31,173.289993,173.720001,170.710007,171.910004,6074200,149.253916
2011-08-30,172.059998,173.509995,170.880005,172.509995,4477700,149.774833
2011-08-29,170.580002,172.720001,170.360001,172.619995,5293400,149.870337
2011-08-26,164.850006,169.330002,163.279999,169.139999,6438200,146.848971
2011-08-25,167.520004,168.529999,164.850006,165.580002,6751600,143.758147
2011-08-24,164.130005,166.830002,163.350006,166.759995,6427000,144.782628
2011-08-23,160.649994,164.589996,159.529999,164.320007,6923300,142.664208
2011-08-22,161.350006,161.679993,157.619995,158.979996,7249100,138.027959
2011-08-19,162.169998,163.940002,157.130005,157.539993,14068600,136.777735
2011-08-18,166.320007,166.460007,160.160004,163.830002,15082600,142.23878
2011-08-17,171.570007,172.990005,169.889999,171.479996,5129700,148.880579
2011-08-16,172.190002,172.190002,169.00,171.240005,5585400,148.672217
2011-08-15,171.320007,174.00,170.389999,172.990005,7645400,150.191584
2011-08-12,168.50,169.380005,165.830002,168.199997,5187000,146.032852
2011-08-11,164.100006,168.770004,162.940002,166.729996,9175600,144.756583
2011-08-10,168.179993,169.229996,161.850006,162.539993,13993600,141.118783
2011-08-09,167.460007,171.050003,162.00,170.610001,12517600,148.12524
2011-08-08,168.830002,172.610001,166.00,166.220001,15804900,144.313801
2011-08-05,172.100006,174.220001,166.520004,172.979996,11871800,149.531739
2011-08-04,176.50,177.919998,171.179993,171.479996,11022300,148.235071
2011-08-03,177.669998,179.229996,175.410004,178.830002,6722000,154.588749
2011-08-02,179.949997,182.289993,177.860001,178.050003,5770400,153.914483
2011-08-01,182.600006,183.690002,178.50,180.75,5842700,156.248482
2011-07-29,180.259995,183.429993,179.729996,181.850006,6665600,157.199377
2011-07-28,181.059998,183.270004,180.880005,181.800003,4478800,157.156153
2011-07-27,182.009995,182.910004,180.929993,181.350006,5806800,156.767155
2011-07-26,182.940002,184.050003,182.649994,182.929993,4356200,158.132967
2011-07-25,183.889999,184.960007,183.279999,183.699997,4987000,158.798593
2011-07-22,184.639999,185.630005,184.259995,185.179993,4516100,160.077969
2011-07-21,183.589996,185.50,182.899994,184.899994,4958400,159.835925
2011-07-20,183.839996,184.419998,183.00,183.649994,5901100,158.755368
2011-07-19,178.740005,185.210007,178.649994,185.210007,13245600,160.103914
2011-07-18,174.729996,176.460007,173.580002,175.279999,8879700,151.519966
2011-07-15,175.080002,175.940002,174.070007,175.539993,5347100,151.744717
2011-07-14,174.399994,176.100006,173.839996,174.229996,4613100,150.612296
2011-07-13,174.899994,176.320007,174.00,174.320007,4074800,150.690106
2011-07-12,174.929993,175.369995,173.889999,174.050003,5036800,150.456702
2011-07-11,174.899994,176.149994,174.610001,174.990005,4766500,151.269282
2011-07-08,175.490005,176.490005,175.009995,176.490005,4399900,152.56595
2011-07-07,176.779999,177.270004,176.119995,176.479996,5905600,152.557297
2011-07-06,175.190002,177.770004,175.089996,177.710007,5885900,153.620575
2011-07-05,173.520004,175.429993,173.520004,175.429993,4586500,151.649627
2011-07-01,171.610001,174.649994,171.490005,174.539993,5181700,150.880271
2011-06-30,171.110001,172.449997,170.75,171.550003,5105200,148.295589
2011-06-29,170.610001,170.860001,169.820007,170.539993,3817100,147.42249
2011-06-28,168.330002,170.699997,168.009995,170.009995,4850000,146.964335
2011-06-27,165.740005,168.240005,165.210007,167.619995,4446700,144.898312
2011-06-24,165.850006,165.940002,164.570007,165.070007,4402600,142.693987
2011-06-23,164.059998,166.729996,163.800003,166.119995,5271500,143.601644
2011-06-22,165.589996,166.809998,165.100006,165.679993,3960500,143.221286
2011-06-21,165.199997,166.75,164.00,166.220001,5387300,143.688094
2011-06-20,163.699997,165.610001,163.589996,165.020004,3956100,142.650762
2011-06-17,164.240005,165.100006,163.580002,164.440002,7149700,142.149382
2011-06-16,162.059998,163.630005,161.779999,162.669998,4861100,140.61931
2011-06-15,162.75,163.410004,161.520004,162.330002,5225600,140.325402
2011-06-14,163.869995,164.570007,163.649994,164.119995,7050000,141.872753
2011-06-13,164.440002,164.460007,162.729996,163.169998,5099200,141.051533
2011-06-10,164.570007,164.839996,162.869995,163.179993,4683300,141.060173
2011-06-09,165.009995,165.960007,164.759995,164.839996,4299800,142.495155
2011-06-08,163.270004,164.850006,163.259995,164.339996,3850800,142.062932
2011-06-07,165.110001,165.240005,163.610001,163.690002,4187000,141.501048
2011-06-06,164.759995,165.580002,164.270004,164.75,3619700,142.417358
2011-06-03,164.300003,165.889999,164.130005,165.050003,5230500,142.676694
2011-06-02,166.440002,167.100006,165.710007,166.089996,3854100,143.575712
2011-06-01,168.899994,169.580002,166.50,166.559998,5134600,143.982002
2011-05-31,168.440002,169.889999,167.820007,168.929993,9123400,146.030733
2011-05-27,167.910004,168.470001,167.00,167.50,3277600,144.794583
2011-05-26,167.460007,167.50,165.899994,167.179993,5771300,144.517954
2011-05-25,167.630005,168.399994,167.509995,167.75,3882100,145.010694
2011-05-24,168.50,168.669998,167.509995,167.990005,4643600,145.218166
2011-05-23,168.580002,168.690002,167.070007,168.259995,5144000,145.451556
2011-05-20,170.399994,171.149994,169.380005,170.160004,4869900,147.09401
2011-05-19,170.860001,171.399994,169.320007,170.589996,3538300,147.465715
2011-05-18,170.100006,171.190002,169.460007,170.440002,4154300,147.336054
2011-05-17,167.850006,171.410004,166.529999,170.50,8773200,147.387918
2011-05-16,169.809998,170.639999,168.309998,168.860001,4662200,145.970229
2011-05-13,171.699997,172.149994,169.440002,169.919998,5167400,146.886539
2011-05-12,169.649994,172.770004,168.649994,172.240005,5138500,148.892058
2011-05-11,170.300003,170.520004,167.820007,169.50,4663200,146.523473
2011-05-10,169.25,170.899994,169.220001,170.380005,4934800,147.284189
2011-05-09,168.389999,169.850006,168.309998,169.100006,3594800,146.1777
2011-05-06,169.029999,170.149994,168.240005,168.889999,4839400,145.996161
2011-05-05,170.470001,170.869995,167.50,168.460007,7332000,144.976119
2011-05-04,172.360001,172.619995,169.589996,170.619995,6890300,146.834997
2011-05-03,172.00,173.479996,171.229996,172.869995,5007700,148.77134
2011-05-02,172.110001,173.539993,171.490005,172.149994,5396200,148.151709
2011-04-29,171.100006,173.00,170.479996,170.580002,5587700,146.800579
2011-04-28,169.990005,171.380005,169.699997,170.779999,5087700,146.972696
2011-04-27,168.610001,170.589996,168.460007,170.369995,5299700,146.619848
2011-04-26,167.990005,169.199997,167.399994,168.490005,7300000,145.001935
2011-04-25,167.649994,168.770004,167.229996,167.669998,3583800,144.29624
2011-04-21,165.630005,168.449997,164.860001,168.279999,6158400,144.821204
2011-04-20,163.100006,165.889999,162.190002,164.75,10891800,141.783299
2011-04-19,165.710007,166.380005,164.440002,165.399994,6547100,142.342682
2011-04-18,164.639999,166.160004,162.860001,165.940002,6160700,142.807411
2011-04-15,165.00,166.339996,164.869995,166.210007,5287400,143.039776
2011-04-14,163.839996,165.360001,163.160004,164.970001,4699100,141.972632
2011-04-13,163.970001,164.929993,163.660004,163.949997,4181900,141.094819
2011-04-12,163.360001,163.770004,162.300003,163.25,3860600,140.492404
2011-04-11,163.440002,164.00,163.110001,163.949997,4139000,141.094819
2011-04-08,164.350006,164.380005,163.160004,164.050003,3324100,141.180884
2011-04-07,164.100006,164.550003,163.279999,164.380005,3666700,141.464883
2011-04-06,164.339996,164.75,163.809998,164.039993,3774800,141.17227
2011-04-05,163.809998,164.699997,163.619995,163.990005,3612000,141.12925
2011-04-04,164.419998,164.729996,163.580002,164.25,3225100,141.353001
2011-04-01,163.699997,164.419998,163.039993,164.270004,4381900,141.370216
2011-03-31,163.399994,164.059998,163.070007,163.070007,3860800,140.337503
2011-03-30,163.550003,163.990005,163.020004,163.600006,3394100,140.793618
2011-03-29,161.339996,163.089996,161.149994,162.880005,3456700,140.173988
2011-03-28,161.539993,162.580002,161.119995,161.369995,3972800,138.874478
2011-03-25,160.979996,162.740005,160.759995,162.179993,5348100,139.571559
2011-03-24,160.229996,160.710007,158.839996,160.039993,5145800,137.729883
2011-03-23,158.00,160.080002,157.529999,159.529999,4782500,137.290984
2011-03-22,158.559998,158.610001,157.520004,158.00,4311400,135.974272
2011-03-21,157.639999,159.630005,157.070007,157.679993,5784000,135.698875
2011-03-18,156.50,156.949997,154.320007,155.889999,11450000,134.158412
2011-03-17,154.00,154.50,152.699997,154.179993,7376400,132.686786
2011-03-16,156.520004,156.979996,151.710007,153.00,12195300,131.671288
2011-03-15,157.350006,159.639999,156.880005,159.020004,6475800,136.852084
2011-03-14,161.160004,161.979996,160.089996,161.389999,4300500,138.891694
2011-03-11,162.399994,163.240005,160.839996,162.429993,4271000,139.786709
2011-03-10,164.639999,164.669998,161.380005,162.020004,7041400,139.433874
2011-03-09,163.470001,167.720001,163.279999,165.860001,9086600,142.738562
2011-03-08,159.699997,163.429993,159.210007,162.279999,5384800,139.657624
2011-03-07,161.600006,162.979996,158.850006,159.929993,5312000,137.635217
2011-03-04,163.399994,164.309998,160.649994,161.830002,4910700,139.270359
2011-03-03,161.419998,164.00,161.270004,163.479996,4057800,140.690338
2011-03-02,159.429993,161.110001,159.410004,160.160004,3413000,137.833164
2011-03-01,163.149994,163.149994,159.880005,159.970001,4382800,137.669648
2011-02-28,162.360001,162.990005,161.240005,161.880005,4773000,139.313391
2011-02-25,161.059998,162.339996,160.860001,162.279999,4518400,139.657624
2011-02-24,159.630005,161.270004,159.029999,160.770004,5707500,138.358128
2011-02-23,161.809998,162.679993,160.139999,160.179993,5998100,137.850366
2011-02-22,163.570007,164.259995,161.779999,161.949997,5209300,139.373626
2011-02-18,164.460007,164.839996,164.100006,164.839996,4245000,141.86075
2011-02-17,163.300003,164.669998,162.850006,164.240005,3230500,141.3444
2011-02-16,163.330002,163.600006,162.75,163.399994,3216000,140.621488
2011-02-15,162.889999,163.570007,162.520004,162.839996,3768700,140.139556
2011-02-14,164.179993,164.380005,162.850006,163.220001,4129800,140.466587
2011-02-11,163.979996,165.009995,163.309998,163.850006,5185200,141.008767
2011-02-10,163.899994,165.00,163.179993,164.089996,5737800,141.215302
2011-02-09,165.619995,165.970001,164.100006,164.649994,4633600,141.697234
2011-02-08,164.820007,166.25,164.320007,166.050003,5612600,142.902077
2011-02-07,164.080002,164.990005,164.020004,164.820007,4928100,141.284157
2011-02-04,163.479996,164.139999,163.220001,164.00,3755200,140.581244
2011-02-03,163.160004,164.199997,162.809998,163.529999,4683400,140.178358
2011-02-02,163.399994,163.600006,162.610001,163.300003,3904000,139.981205
2011-02-01,162.110001,163.940002,162.00,163.559998,5831300,140.204073
2011-01-31,159.179993,162.00,158.679993,162.00,7197200,138.866839
2011-01-28,161.050003,161.919998,158.669998,159.210007,6725600,136.475249
2011-01-27,161.429993,162.179993,160.860001,161.070007,4878300,138.069647
2011-01-26,161.669998,161.899994,160.419998,161.039993,5353100,138.043918
2011-01-25,159.210007,164.350006,159.00,161.440002,8260800,138.386807
2011-01-24,155.419998,159.789993,155.330002,159.630005,7285100,136.835273
2011-01-21,156.399994,156.779999,154.960007,155.50,7009000,133.295021
2011-01-20,154.529999,155.960007,154.449997,155.800003,7439900,133.552185
2011-01-19,153.259995,156.130005,152.830002,155.690002,12141000,133.457892
2011-01-18,149.820007,151.460007,149.380005,150.649994,9176900,129.137583
2011-01-14,148.889999,150.00,148.470001,150.00,4544200,128.580406
2011-01-13,149.240005,149.289993,148.25,148.820007,3445800,127.568913
2011-01-12,147.990005,149.289993,147.669998,149.100006,4091500,127.808929
2011-01-11,148.199997,148.350006,146.75,147.279999,4163600,126.248814
